,insured,unknown,cars2,cars3,drivers2,married,naive prob,prob from random forests,% difference/naive,% difference/forests
0,1,0,0,0,1,1,0.2972972972972973,0.2950132887050356,-0.007682574355789314,0.00774205325559188
1,1,0,1,0,0,1,0.38095238095238093,0.39616701019176,0.03993840175337001,-0.03840458404654792
2,1,0,0,1,1,0,0.20833333333333334,0.20142792626975975,-0.03314595390515324,0.034282272530203266
3,1,0,0,0,0,0,0.3116883116883117,0.3082079918341521,-0.011166026198762004,0.01129211424223016
4,1,0,1,0,1,1,0.3157894736842105,0.3165871288191922,0.0025259079274420524,-0.0025195437918047953
5,1,0,0,1,0,1,0.1111111111111111,0.10949011500619048,-0.014588964944285646,0.014804953897700972
6,1,0,0,0,1,0,0.48717948717948717,0.4775983988110072,-0.019666444545827336,0.02006097255001762
7,1,0,1,0,0,0,0.1875,0.18807568943335876,0.0030703436445800314,-0.0030609454900482557
8,1,0,0,1,1,1,0.19047619047619047,0.1902183647109261,-0.001353585267637937,0.0013554199441057414
9,1,0,0,0,0,1,0.3157894736842105,0.3082435065919619,-0.023895562458787184,0.02448053870032557
10,1,0,1,0,1,0,0.26666666666666666,0.26754587918998324,0.0032970469624371557,-0.0032862121665953583
11,1,0,0,1,0,0,0.36363636363636365,0.3864881597161009,0.06284243921927744,-0.05912676884208636
12,0,0,0,0,1,1,0.56,0.5677368169908256,0.013815744626474127,-0.013627470967679972
13,0,0,1,0,0,1,0.45454545454545453,0.4428851899148082,-0.025652582187421957,0.026327962406892114
14,0,0,0,1,1,0,0.36363636363636365,0.3685662162055685,0.013557094565313371,-0.013375758147228632
15,0,0,0,0,0,0,0.4050632911392405,0.40266696182452494,-0.005915937995704043,0.0059511445981501685
16,0,0,1,0,1,1,0.4,0.3834368155569024,-0.04140796110774406,0.043196646151573384
17,0,0,0,1,0,1,0.5238095238095238,0.5223863006651422,-0.002717062366546674,0.002724464907616135
18,0,0,0,0,1,0,0.5813953488372093,0.5868791434064449,0.009432126659085117,-0.009343992934227883
19,0,0,1,0,0,0,0.46875,0.4534705191524722,-0.03259622580805927,0.03369454066404326
20,0,0,0,1,1,1,0.6,0.6057224557777963,0.009537426296327145,-0.009447323148104514
21,0,0,0,0,0,1,0.4189189189189189,0.41850295817225225,-0.000992938556559138,0.0009939254634741676
22,0,0,1,0,1,0,0.3125,0.2994838293580754,-0.04165174605415878,0.043462014860114334
23,0,0,0,1,0,0,0.23076923076923078,0.2167703417116527,-0.06066185258283841,0.06457935595358971
24,0,1,0,0,1,1,0.5267857142857143,0.5279677205640101,0.0022438085282903103,-0.0022387851231380038
25,0,1,1,0,0,1,0.2765957446808511,0.2835838091127237,0.025264540638308665,-0.02464197252211559
26,0,1,0,1,1,0,0.3880597014925373,0.3919994940301988,0.010152542308589169,-0.010050504140084312
27,0,1,0,0,0,0,0.4296875,0.43897938141627096,0.0216247422051397,-0.02116701104797392
28,0,1,1,0,1,1,0.4880952380952381,0.4848831317185747,-0.006580900869261518,0.006624496020883771
29,0,1,0,1,0,1,0.4383561643835616,0.4434626193365444,0.011649100361491981,-0.011514961420248795
30,0,1,0,0,1,0,0.5433070866141733,0.5472909928820762,0.007332697043821286,-0.007279319995608459
31,0,1,1,0,0,0,0.38181818181818183,0.3881526610851811,0.016590302842140917,-0.01631955645824915
32,0,1,0,1,1,1,0.36231884057971014,0.3589914353050277,-0.009183638558123559,0.009268759495209741
33,0,1,0,0,0,1,0.5428571428571428,0.5472994293059685,0.008183159247836847,-0.008116738682623859
34,0,1,1,0,1,0,0.4074074074074074,0.4088147027541204,0.0034542703964774183,-0.0034423794869223017
35,0,1,0,1,0,0,0.0,0.3868368148943348,inf,-1.0
