Currently Insured,Number of Vehicles,Number of Drivers,Marital Status,Estimated Competition Average,Bids to get 100 Sales,Bids to get 200 Sales,Bids to get 300 Sales,Bids to get 400 Sales,Bids to get 500 Sales,Bids to get 600 Sales,Bids to get 700 Sales,Bids to get 800 Sales,Bids to get 900 Sales,Bids to get 1000 Sales
Y,1,1,M,22.591512557352907,0.010000014239213498,0.3536708634141601,1.251078317300278,2.190470906065048,3.2408276784982344,4.457002064282325,5.897780836731362,7.674751822887958,9.724289857499198,0.010104038383475037
Y,2,2,M,52.216069811860116,0.010000009669858239,0.010000699848329417,0.5782552293587474,1.7724793465265907,3.096585049723905,4.616923608423152,6.4080767240214405,8.62016081448957,11.204203886396705,16.534824269748622
Y,3,1,S,47.696699900235856,0.010000010304179647,0.0100004078543532,0.010002763921290335,0.12748100662574488,0.8495475555570945,1.67505398527101,2.6423369279117144,0.010565811032454908,5.207348824424994,8.046394520211757
Y,1,2,S,10.269448919754526,0.010000070341717498,0.9644386716160621,1.9272176228093176,2.9506108971940694,4.092135128364673,5.379431234077879,6.828980949173848,8.492901696430234,10.257232385907471,13.372006488438178
Y,2,1,M,49.18475440436826,0.01000001043900489,0.010000683508706283,0.2199268663841573,1.2095582000668375,2.3056586822371514,3.5624018854708503,5.040533868347469,6.863089880034567,8.989788377356977,13.382793515271768
Y,3,2,M,59.044978593347324,0.010000009229495292,0.01000027975102252,0.010002194349959494,0.010003748277282945,0.010013614410516385,0.010023717909197146,0.020256176545132672,0.5619672898530353,0.012978769135142376,0.010169497974596188
Y,1,1,S,10.53571590649661,0.17393956941018768,1.7647919497290976,3.3028157265436633,4.910868683485383,6.6325070114450675,8.4760898132164,10.445515551996538,12.595160032731972,14.77146306819868,18.41398357604736
Y,2,2,S,54.163304805102605,0.010000008788186396,0.010000342687865834,0.01000187486689234,0.01001391464018271,0.27058703136332096,1.0130809533495184,1.8819630567406804,2.9462845950010825,4.178605016119996,6.707392576177343
Y,3,1,M,53.351356855557306,0.010000009117477457,0.010000301928708478,0.010003206432263509,0.010015537794000962,0.3483583559441324,1.1026744944128226,1.9854857402124155,3.067108944015836,4.319982307822693,0.010050976680398229
Y,1,2,M,10.615224124565032,0.010000059442658416,0.9675950411874159,1.9420903050784861,2.9779284153674292,4.134553435989635,5.441364222627246,6.91631704149579,8.613501671349136,10.417233793099118,13.610292263995708
